Date,Status,Start Location,End Location,Flight Number,Departure Time,Arrival Time,Flight Duration,Departure Location,Arrival Location,Price,Website,URL
10/01/2025,FromUK,BHX,SOF,FR 6336,07:35,12:40,3h 5m,Birmingham,Sofia,£31.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-10&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-10&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
13/01/2025,FromUK,BHX,SOF,FR 6336,15:10,20:15,3h 5m,Birmingham,Sofia,£15.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-13&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-13&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
17/01/2025,FromUK,BHX,SOF,FR 6336,07:35,12:40,3h 5m,Birmingham,Sofia,£18.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-17&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-17&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
20/01/2025,FromUK,BHX,SOF,FR 6336,15:10,20:15,3h 5m,Birmingham,Sofia,£16.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-20&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=BHX&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-20&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=BHX&tpDestinationIata=SOF
08/01/2025,FromUK,STN,SOF,FR 1730,06:30,11:25,2h 55m,London Stansted,Sofia,£171.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-08&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-08&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
09/01/2025,FromUK,STN,SOF,FR 2690,17:10,22:05,2h 55m,London Stansted,Sofia,£32.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-09&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-09&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
10/01/2025,FromUK,STN,SOF,FR 1730,09:15,14:10,2h 55m,London Stansted,Sofia,£31.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-10&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-10&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
10/01/2025,FromUK,STN,SOF,FR 2690,15:15,20:10,2h 55m,London Stansted,Sofia,£19.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-10&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-10&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
10/01/2025,FromUK,STN,SOF,FR 9961,16:50,21:45,2h 55m,London Stansted,Sofia,£21.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-10&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-10&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
10/01/2025,FromUK,STN,SOF,FR 9967,18:55,23:50,2h 55m,London Stansted,Sofia,£15.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-10&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-10&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
11/01/2025,FromUK,STN,SOF,FR 1730,06:10,11:05,2h 55m,London Stansted,Sofia,£26.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-11&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-11&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
11/01/2025,FromUK,STN,SOF,FR 2690,09:55,14:50,2h 55m,London Stansted,Sofia,£21.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-11&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-11&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
11/01/2025,FromUK,STN,SOF,FR 9961,20:05,01:00,2h 55m,London Stansted,Sofia,£24.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-11&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-11&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
12/01/2025,FromUK,STN,SOF,FR 1730,06:50,11:45,2h 55m,London Stansted,Sofia,£20.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-12&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-12&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
12/01/2025,FromUK,STN,SOF,FR 2690,14:05,19:00,2h 55m,London Stansted,Sofia,£15.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-12&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-12&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
12/01/2025,FromUK,STN,SOF,FR 9967,15:35,20:30,2h 55m,London Stansted,Sofia,£22.05,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-12&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-12&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
12/01/2025,FromUK,STN,SOF,FR 9976,17:10,22:05,2h 55m,London Stansted,Sofia,£19.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-12&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-12&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
13/01/2025,FromUK,STN,SOF,FR 1730,06:55,11:50,2h 55m,London Stansted,Sofia,£24.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-13&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-13&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
13/01/2025,FromUK,STN,SOF,FR 2690,08:55,13:50,2h 55m,London Stansted,Sofia,£18.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-13&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-13&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
13/01/2025,FromUK,STN,SOF,FR 9961,15:55,20:50,2h 55m,London Stansted,Sofia,£15.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-13&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-13&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
14/01/2025,FromUK,STN,SOF,FR 1730,08:15,13:10,2h 55m,London Stansted,Sofia,£16.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-14&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-14&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
15/01/2025,FromUK,STN,SOF,FR 1730,06:30,11:25,2h 55m,London Stansted,Sofia,£33.50,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-15&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-15&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
16/01/2025,FromUK,STN,SOF,FR 2690,17:10,22:05,2h 55m,London Stansted,Sofia,£68.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-16&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-16&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
17/01/2025,FromUK,STN,SOF,FR 1730,09:15,14:10,2h 55m,London Stansted,Sofia,£87.34,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-17&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-17&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
17/01/2025,FromUK,STN,SOF,FR 2690,15:15,20:10,2h 55m,London Stansted,Sofia,£27.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-17&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-17&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
17/01/2025,FromUK,STN,SOF,FR 9961,16:50,21:45,2h 55m,London Stansted,Sofia,£23.19,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-17&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-17&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
17/01/2025,FromUK,STN,SOF,FR 9967,18:55,23:50,2h 55m,London Stansted,Sofia,£41.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-17&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-17&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
18/01/2025,FromUK,STN,SOF,FR 1730,06:10,11:05,2h 55m,London Stansted,Sofia,£29.75,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-18&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-18&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
18/01/2025,FromUK,STN,SOF,FR 2690,09:55,14:50,2h 55m,London Stansted,Sofia,£35.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-18&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-18&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
18/01/2025,FromUK,STN,SOF,FR 9961,20:05,01:00,2h 55m,London Stansted,Sofia,£16.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-18&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-18&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
19/01/2025,FromUK,STN,SOF,FR 1730,06:50,11:45,2h 55m,London Stansted,Sofia,£28.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-19&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-19&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
19/01/2025,FromUK,STN,SOF,FR 2690,14:05,19:00,2h 55m,London Stansted,Sofia,£26.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-19&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-19&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
19/01/2025,FromUK,STN,SOF,FR 9967,15:35,20:30,2h 55m,London Stansted,Sofia,£21.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-19&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-19&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
19/01/2025,FromUK,STN,SOF,FR 9976,17:10,22:05,2h 55m,London Stansted,Sofia,£22.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-19&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-19&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
20/01/2025,FromUK,STN,SOF,FR 1730,06:55,11:50,2h 55m,London Stansted,Sofia,£24.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-20&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-20&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
20/01/2025,FromUK,STN,SOF,FR 2690,08:55,13:50,2h 55m,London Stansted,Sofia,£25.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-20&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-20&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
20/01/2025,FromUK,STN,SOF,FR 9961,15:55,20:50,2h 55m,London Stansted,Sofia,£15.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-20&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-20&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
21/01/2025,FromUK,STN,SOF,FR 1730,08:15,13:10,2h 55m,London Stansted,Sofia,£28.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2025-01-21&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2025-01-21&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
